Line_ID,Invoice_ID,Sale_Date,Sale_Time,Year,Month_Number,Month_Name,Day_of_Week,Is_Weekend,Store_ID,Store_Name,City,Sales_Channel,Customer_Type,Customer_ID,Cashier_ID,SKU,Category,Subcategory,Brand,Product_Name,Pack_Size,Quantity,Unit_Price_LKR,Gross_Sales_LKR,Discount_Pct,Discount_Amount_LKR,Net_Sales_LKR,Unit_Cost_LKR,Cost_of_Goods_LKR,Gross_Profit_LKR,Payment_Method,Promotion
LIN-0000001,INV-2025-000001,1/1/2025,17:13:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-05,BEV008,Beverages,Bottled Water,Aquafresh,Drinking Water,1.5 L,1,150,150,0,0,150,92.69,92.69,57.31,Mobile Wallet,None
LIN-0000002,INV-2025-000001,1/1/2025,17:13:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-05,GRO017,Grocery Staples,Breakfast,Samaposha,Cereal Mix,200 g,1,315,315,0,0,315,233.42,233.42,81.58,Mobile Wallet,None
LIN-0000003,INV-2025-000002,1/1/2025,14:10:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,BEV003,Beverages,Coffee,Nescafe,Classic Coffee,100 g,1,1100,1100,0,0,1100,868.32,868.32,231.68,Debit/Credit Card,None
LIN-0000004,INV-2025-000003,1/1/2025,7:35:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-03,SNK007,Snacks & Confectionery,Chips,Rancrisp,Cassava Chips,100 g,1,260,260,0,0,260,167.23,167.23,92.77,Debit/Credit Card,None
LIN-0000005,INV-2025-000003,1/1/2025,7:35:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-03,GRO014,Grocery Staples,Sauces,Edinborough,Chilli Sauce,350 g,1,455,455,0,0,455,350.33,350.33,104.67,Debit/Credit Card,None
LIN-0000006,INV-2025-000003,1/1/2025,7:35:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-03,SNK004,Snacks & Confectionery,Biscuits,Maliban,Lemon Puff,200 g,2,285,570,0,0,570,203.85,407.7,162.3,Debit/Credit Card,None
LIN-0000007,INV-2025-000004,1/1/2025,19:42:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,HOU008,Household,Bags,Generic,Garbage Bags - Medium,20 pack,1,345,345,0,0,345,228.42,228.42,116.58,Cash,None
LIN-0000008,INV-2025-000004,1/1/2025,19:42:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,CHI004,Chilled & Frozen,Ice Cream,Cargills Magic,Vanilla Ice Cream,1 L,1,945,945,0,0,945,723.64,723.64,221.36,Cash,None
LIN-0000009,INV-2025-000004,1/1/2025,19:42:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,GRO005,Grocery Staples,Pulses,Generic,Red Dhal,1 kg,1,520,520,0,0,520,445.92,445.92,74.08,Cash,None
LIN-0000010,INV-2025-000004,1/1/2025,19:42:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,DAI006,Dairy & Eggs,Yoghurt,Kotmale,Vanilla Yoghurt,80 g,1,100,100,0,0,100,67.37,67.37,32.63,Cash,None
